שנה,שם יישוב,סמל היישוב,אזור סטטיסטי,קבוצת אוכלוסיה,מין,סה''כ
2016,אוהד,"1,046","סה""כ",יהודים,"סה""כ",416
2015,אוהד,"1,046","סה""כ",יהודים,נקבה,199
2015,אוהד,"1,046","סה""כ",יהודים,"סה""כ",404
2015,אוהד,"1,046","סה""כ",יהודים,זכר,205
2019,אום אל-פחם,"2,710","סה""כ",לא יהודים,"סה""כ","56,109"
2019,אום אל-פחם,"2,710","סה""כ",לא יהודים,זכר,"28,601"
2019,אום אל-פחם,"2,710","סה""כ",לא יהודים,נקבה,"27,508"
2018,אום אל-פחם,"2,710","סה""כ",לא יהודים,"סה""כ","55,183"
2018,אום אל-פחם,"2,710","סה""כ",לא יהודים,זכר,"28,114"
2018,אום אל-פחם,"2,710","סה""כ",לא יהודים,נקבה,"27,069"
2017,אום אל-פחם,"2,710","סה""כ",לא יהודים,נקבה,"26,662"
2017,אום אל-פחם,"2,710","סה""כ",לא יהודים,זכר,"27,578"
2017,אום אל-פחם,"2,710","סה""כ",לא יהודים,"סה""כ","54,240"
