סמל צורת יישוב,סמל יישוב,שם יישוב,נכנסים,יוצאים,מאזן הגירה פנימית
370,1202,מכמנים,29,15,14
310,164,מלאה,11,26,-15
310,2044,מלילות,31,21,10
330,596,מלכייה,17,17,0
340,1154,מלכישוע,0,2,-2
310,2030,מנוחה,41,12,29
310,1174,מנוף,32,19,13
310,1205,מנות,32,23,9
350,48,מנחמיה,38,57,-19
330,347,מנרה,15,17,-2
450,994,מנשית זבדה,16,22,-6
370,1258,מסד,17,23,-6
330,263,מסדה,32,43,-11
330,298,מסילות,19,30,-11
310,742,מסילת ציון,28,62,-34
310,748,מסלול,55,33,22
290,4203,מסעדה,32,37,-5
330,197,מעברות,5,18,-13
190,1082,מעגלים,62,65,-3
330,678,מעגן,11,22,-11
330,694,מעגן מיכאל,25,68,-43
330,272,מעוז חיים,14,31,-17
320,3657,מעון,29,28,1
310,570,מעונה,41,45,-4
330,416,מעיין ברוך,52,44,8
330,290,מעיין צבי,39,21,18
290,518,מעיליא,38,38,0
160,3616,מעלה אדומים,1081,1545,-464
350,3608,מעלה אפרים,44,101,-57
330,1127,מעלה גלבוע,39,23,16
310,4008,מעלה גמלא,28,16,12
330,286,מעלה החמישה,35,19,16
370,3752,מעלה לבונה,38,32,6
370,3651,מעלה מכמש,54,59,-5
270,1327,מעלה עירון,111,120,-9
370,3653,מעלה עמוס,95,10,85
370,3637,מעלה שומרון,35,83,-48
160,1063,מעלות-תרשיחא,659,750,-91
330,344,מענית,38,3,35
310,230,מעש,44,41,3
330,668,מפלסים,34,45,-11
320,3745,מצדות יהודה,25,33,-8
330,325,מצובה,47,53,-6
310,757,מצליח,42,65,-23
350,58,מצפה,6,9,-3
370,1222,"מצפה אבי""ב",48,28,20
370,1370,מצפה אילן,59,1,58
190,3576,מצפה יריחו,57,121,-64
370,1190,מצפה נטופה,43,36,7
180,99,מצפה רמון,298,471,-173
330,3610,מצפה שלם,13,6,7
330,648,מצר,21,39,-18
340,22,מקווה ישראל,18,24,-6
310,843,מרגליות,14,14,0
330,4101,מרום גולן,33,13,20
370,1340,מרחב עם,23,19,4
310,97,מרחביה (מושב),20,39,-19
330,66,מרחביה (קיבוץ),12,104,-92
190,1098,מרכז שפירא,79,110,-31
330,421,משאבי שדה,16,45,-29
310,765,משגב דב,50,34,16
330,378,משגב עם,23,24,-1
280,520,משהד,108,112,-4
310,3605,משואה,18,3,15
320,620,משואות יצחק,26,29,-3
370,3785,משכיות,17,13,4
310,670,משמר איילון,21,41,-20
330,563,משמר דוד,63,21,42
310,732,משמר הירדן,69,47,22
330,395,משמר הנגב,59,29,30
330,130,משמר העמק,9,31,-22
310,729,משמר השבעה,61,54,7
330,194,משמר השרון,20,10,10
330,213,משמרות,106,19,87
310,425,משמרת,44,42,2
310,791,משען,39,58,-19
190,1315,מתן,135,147,-12
370,1184,מתת,4,9,-5
320,3648,מתתיהו,76,52,24
310,4551,נאות גולן,38,21,17
310,1124,נאות הכיכר,10,5,5
330,408,נאות מרדכי,34,40,-6
330,1197,נאות סמדר,9,18,-9
290,524,נאעורה,21,33,-12
330,315,נגבה,12,7,5
370,3724,נגוהות,22,10,12
350,309,נהורה,54,74,-20
310,80,נהלל,56,35,21
150,9100,נהרייה,1909,2071,-162
310,4304,נוב,22,17,5
310,55,נוגה,20,19,1
370,3573,נוה צוף,10,42,-32
310,1366,נווה,41,31,10
330,590,נווה אור,21,23,-2
310,4303,"נווה אטי""ב",5,14,-9
320,405,נווה אילן,55,43,12
330,296,נווה איתן,13,21,-8
190,3725,נווה דניאל,61,178,-117
